addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
10782 Guilford Road,Howard,Settlement Agreement,Patrick Noyes,2018-12-14T00:00:00.000,2018-12-26T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Jessup,MD,20794,22065 - Daniel G. Schuster Inc.- Jessup
45 Yost Place,Prince George's,Settlement Agreement,SA-20-2625,2019-11-15T00:00:00.000,2020-01-24T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Seat Pleasant,MD,20785,22125 - Chaney Enterprises - Seat Pleasant
6600 Crain Hwy,Prince George's,Penalty Settlement,PS-13-1833,2013-01-10T00:00:00.000,2013-02-15T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Upper Marlboro,MD,20772,5034 - WSSC Western Branch WRRF
1640 Professional blvd,Anne Arundel,Consent Order,CO-12-1581,2012-02-03T00:00:00.000,2017-11-22T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Crofton,MD,21114,10400 - Patuxent Water Reclamation Facility
7100 E Baltimore Street,Baltimore,Penalty Settlement,Jess Herpel,2020-09-08T00:00:00.000,2020-09-08T00:00:00.000,Stormwater Management,Industrial Stormwater,,Baltimore,MD,21224,1852 - Altium Packaging
510 West Road,Wicomico,Consent Order,CO-19-2597,2019-03-04T00:00:00.000,2020-04-16T00:00:00.000,Surface Water Discharge Permit,Industrial Stormwater,,Salisbury,MD,21801,150697 - Eagle Recycling
3705 Harbor Road,Calvert,Consent Decree,Arno Laud,2013-04-12T00:00:00.000,2018-12-18T00:00:00.000,Surface Water Discharge Permit;Tidal Wetlands,Industrial Stormwater,,Chesapeake Beach,MD,20732,31447 - Abner's Marina
39.000476 -77.102593,Montgomery,Penalty Settlement,15-SF-0157,2017-05-26T00:00:00.000,2017-06-13T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Bethesda,MD,20814,146116 - Buildings 7 and 9 Demolition
FRNTS E OF RT 5 & N OF MOUNT WOLF RD,St. Mary's,Settlement Agreement,Arno Laud,2014-01-27T00:00:00.000,2015-08-27T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Charlotte Hall,MD,20622,99881 - Mark Vogel Co/vogel Charlotte Hall/swm
County Wide Sewerage System,Cecil,Offer to Settle,PS-20-2642,2020-02-28T00:00:00.000,2020-09-04T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31407 - Cecil County Sanitary Sewer Overflows
Winner Blvd,Wicomico,,,,2012-06-15T00:00:00.000,Not Assigned,,,Delmar,MD,21875,63955 - Montchanin Development Group - Ponds Edge
Between 5730 and 5736 Mains Lane,Frederick,Settlement Agreement,Arno Laud,2015-03-13T00:00:00.000,2016-04-20T00:00:00.000,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,Frederick,MD,21701,80959 - JNP Capital Management LLC-Main Heights
Southern intersection of MD 85 and Pegasus Ct,Frederick,Penalty Settlement,13FR0023,2014-09-30T00:00:00.000,2014-10-28T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Frederick,MD,21071,144473 - Center at Monocacy Lots 1 and 15
1519 S Clinton St,Baltimore City,Penalty Settlement,PS-13-1771,2012-10-04T00:00:00.000,2012-11-20T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Baltimore,MD,21224,138261 - Canton Crossing Parking Garage
CRABBS BRANCH WAY,Montgomery,Penalty Settlement,PS-13-1826,2012-02-21T00:00:00.000,2013-01-15T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Gaithersburg,MD,20855,64006 - MO DGS/Casey Parcel 6&7
"US 301 SB, approx. 50 ft. south of AT&T access road",Charles,Penalty Settlement,C-14-2109,2014-06-12T00:00:00.000,2014-07-25T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Waldorf,MD,20603,"143390 - SMECO Distribution Line US 301 SB, 50 ft south of AT&T access road"
6405 Seabay Drive,Worcester,Penalty Settlement,Patrick Noyes,2017-04-13T00:00:00.000,2017-05-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Ocean City,MD,21842,18734 - Ocean City WWTP
20 Helicopter Drive,Baltimore,"Complaint, Order, Penalty",AP-12-1567,2012-08-24T00:00:00.000,2013-05-22T00:00:00.000,Surface Water Discharge Unauthorized,,,Middle River,MD,21220,132164 - 20 Helicopter Dr Middle River Sewage
28165 Briscoe Anderson Ln,St. Mary's,Site Complaint,,2008-07-18T00:00:00.000,2016-07-13T00:00:00.000,Not Applicable,,,Mechanicsville,MD,20659,63912 - JTM Inc./Stoltzfus Pit
909 Millington Ave,Baltimore City,Settlement Agreement,Arno Laud,2019-07-01T00:00:00.000,2019-07-17T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Franklin,MD,21223,"9283 - Sims ARG, Inc. - Millington Ave."
"East Perimeter Rd, Bldg 2487",Prince George's,Penalty Settlement,C-13-1841,2013-01-18T00:00:00.000,2013-03-18T00:00:00.000,Sediment,,,Andrews Airforce Base,MD,20762,9791 - Maryland State Police Aviation - Washington
10720 Mount Victoria Rd,Charles,Consent Order,COP-13-1917,2013-04-23T00:00:00.000,2013-06-05T00:00:00.000,Tidal Wetlands,,,Newburg,MD,20664,131591 - Mark and Heather Mudd
2960 J St,Calvert,Penalty Settlement,PS-13-1937,2013-05-15T00:00:00.000,2013-06-03T00:00:00.000,Tidal Wetlands,,,Chesapeake Beach,MD,20732,"129835 - Boyersmith, James & Albright, Carrie"
"Rt. 220 McMullen Hwy., at 5520 McMullen Highway",Allegany,Penalty Settlement,PS-20-2064,2020-06-16T00:00:00.000,2021-02-04T00:00:00.000,Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2501600'},Cumberland,MD,21502,147115 - D&D Motors Inc
County Wide Sewerage System,Baltimore,Stipulated Penalty,Kevin Bull,2018-03-06T00:00:00.000,2018-04-28T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31394 - Baltimore County Sanitary Sewer Overflows
Shingle Camp Road,Garrett,Penalty Settlement,C-15-2123,2014-08-04T00:00:00.000,2014-09-11T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,McHenry,MD,21541,143495 - Spiker Trail Park
91 Johnstown Road,Cecil,Amended Complaint & Order,CO-14-1983,2012-11-30T00:00:00.000,2013-05-02T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Elkton,MD,21921,21037 - Ceco Utilities WWTP
4707 Church Road,Prince George's,,,,2024-09-20T00:00:00.000,Not Assigned,,,Bowie,MD,20720,131371 - Stream Filling Collington trib
7228 Edgewood Road,Anne Arundel,Consent Order,CO-12-1584,2012-02-12T00:00:00.000,2017-11-22T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Annapolis,MD,21401,4023 - Annapolis WRF
Old Orchard Rd,Allegany,,,,2024-09-10T00:00:00.000,Not Assigned,,,Cresaptown,MD,21502,64045 - Bernard Weitzell FHO
303 Oak Forest Ave,Baltimore,Penalty Settlement,C-14-2072,2014-03-25T00:00:00.000,2014-04-01T00:00:00.000,Sediment,,,Catonsville,MD,21228,142314 - Oak Forest Ave
MD Rte 18 and Dominion Rd,Queen Anne's,Penalty Settlement,Julie Gowe,2011-06-08T00:00:00.000,2011-07-01T00:00:00.000,Sediment,,,Chester,MD,21619,130196 - Walgreens Drug Store @ Kent Island
Sewerage Systems in Montgomery & Prince George's Counties,Statewide,Stipulated Penalty,Patrick Noyes,2018-04-05T00:00:00.000,2018-05-04T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,PG & Montgolery Counties,MD,0,31417 - Washington Suburban Sanitary Commission Sanitary Sewer Overflows
3243 Scarboro Rd,Harford,Penalty Settlement,PS-16-2328,2015-10-14T00:00:00.000,2015-10-29T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Street,MD,21154,36583 - Harford Waste Disposal Center
"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr",Montgomery,Settlement Agreement,Eisgruber,2015-01-07T00:00:00.000,2015-01-22T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Chevy Chase,MD,20815,32218 - WSSC - Bi-County Water Main Package Wastewater Treatment Plant
954 & 950 Sevarden Lane,Anne Arundel,,,,2012-08-21T00:00:00.000,Not Assigned,,,Crownsville,MD,21032,"127843 - Taylor Jr, John/bulkhead, Revetment  And"
12041Cordova Road,Talbot,Penalty Settlement,Patrick Noyes,2019-04-30T00:00:00.000,2019-05-20T00:00:00.000,Groundwater Discharge Permit,Industrial Minor,,Cordova,MD,21625,"3306 - American Aquaculture Holdings, LLC"
462 Brock Bridge Road,Anne Arundel,Consent Order,CO-12-1582,2012-02-03T00:00:00.000,2017-11-22T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Laurel,MD,20724,4232 - Maryland City Water Reclamation Facility
103 J. L. Thompson Dr,Talbot,Stipulated Penalty,SP-23-2849,2023-01-13T00:00:00.000,2023-03-02T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1923329'},Oxford,MD,21654,21841 - Oxford WWTP
7668 Water Oak Point Road,Anne Arundel,Penalty Settlement,PS-13-1764,2012-12-20T00:00:00.000,2013-04-24T00:00:00.000,Tidal Wetlands,,,Pasadena,MD,21122,125720 - James Potter
Rte 5 at Winters Lane,St. Mary's,"Complaint, Order, Penalty",Jess Herpel,2016-12-20T00:00:00.000,2024-09-13T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1971134'},Leonardtown,MD,20650,19080 - Winters Apartments WWTP
227 Sassafras St,Queen Anne's,Penalty Settlement,"Bull, Kevin",2014-08-06T00:00:00.000,2014-09-05T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Millington,MD,21651,21829 - Millington WWTP
Skylark Rd and (MD 27)Ridge Rd Intersection,Montgomery,Consent Decree,JCD-11-1310,2011-02-10T00:00:00.000,2016-07-18T00:00:00.000,Sediment,Notice of Intent (Construction),,Clarksburg,MD,20871,"67897 - Artery - Beazer Clarksburg, LLC - Greenway Village at Clarksburg"
3200 Whippoorwill Drive,Carroll,Consent Order,CO-13-1755,2012-09-10T00:00:00.000,2021-06-11T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Taneytown,MD,21787,25560 - Taneytown Wastewater Treatment Plant
"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",Prince George's,Penalty Settlement,C-16-2313,2015-09-11T00:00:00.000,2015-09-29T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,College Park,MD,20740,145066 - UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center)
140 W Teal Point Rd,Cecil,,,2001-11-22T00:00:00.000,2021-04-07T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Earleville,MD,21919,166194 - Charles Copeland
6605 Morris Road,Wicomico,Penalty Settlement,Patrick Noyes,2017-08-18T00:00:00.000,2017-09-11T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction),,Pittsville,MD,21850,152625 - B2P Sports Complex
"11600 River Rd, SE",Allegany,Consent Decree,Lenn Roberts,2013-08-06T00:00:00.000,2024-09-13T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1598052'},Cumberland,MD,21501,"144828 - Fibred-Maryland, Inc"
TUCKER RD,Prince George's,Settlement Agreement,SAP-14-2042,2014-01-27T00:00:00.000,2015-01-15T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Oxon Hill,MD,20745,"128846 - Birdlawn Llc/rd Xings, Swm Pond  And"
"25th St Coastal Hwy, Map0111Parcel5754",Worcester,Penalty Settlement,PS-14-2082,2014-05-01T00:00:00.000,2014-05-29T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Ocean City,MD,21842,137291 - SensInc/25thStCoastalHwy/OceanCity
48226 Far Cry Rd,St. Mary's,Settlement Agreement,SAP-14-1989,2013-09-06T00:00:00.000,2014-11-06T00:00:00.000,Sediment,,,Lexington Park,MD,20653,134466 - 48226 Far Cry Rd
Creedon Road,Charles,Penalty Settlement,PS-16-2326,2015-10-14T00:00:00.000,2015-11-02T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Bryans Road,MD,20616,126391 - DD Land Holding LLC-Windsor Manor
County Wide Sewerage System,Kent,Penalty Settlement,"Bull, Kevin",2014-08-12T00:00:00.000,2014-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31411 - Kent County Sanitary Sewer Overflows
11629 Gladhill Brothers Road,Frederick,Penalty Settlement,15FR0001,2015-02-24T00:00:00.000,2015-03-20T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Monrovia,MD,21770,98314 - Frank Gladhill-Gladhill Acres
450 Dual Hwy,Washington,Penalty Settlement,C-13-1784,2012-10-18T00:00:00.000,2013-01-09T00:00:00.000,Sediment,,,Hagerstown,MD,21740,138159 - Taco Bell BurgerBusters Inc
California Ave,Prince George's,,,,2024-09-27T00:00:00.000,Not Assigned,,,Andrews Airforce Base,MD,20762,67596 - Project - AAFB Strategic Planning and Development Facility
Tall Cedars Rd,Prince George's,Settlement Agreement,Eisgruber,2015-04-22T00:00:00.000,2015-09-15T00:00:00.000,Non-Tidal Wetlands;Notice of Intent,Notice of Intent (Construction),,Clinton,MD,20735,69699 - Perlco Builders/tall Cedars/rd Xing
107 Drury Drive,Charles,,SCO-09-0886,,2024-09-17T00:00:00.000,Not Assigned,,,La Plata,MD,20646,66354 - Chick-fil-A - La Plata-Building Addition
124 Wheatfield Drive,Charles,Penalty Settlement,C-16-2383,2016-03-30T00:00:00.000,2016-06-03T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,La Plata,MD,20646,151143 - Agricopia Section 6B Lot 180
4690 Mountain Rd,Anne Arundel,Penalty Settlement,C-16-2329,2015-09-29T00:00:00.000,2015-10-21T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Pasadena,MD,21122,148244 - Lakeside estates
11901 Greise Farm Rd,Allegany,Settlement Agreement,Julie Gowe,2013-08-07T00:00:00.000,2014-05-01T00:00:00.000,Surface Water Discharge Unauthorized,,,Cumberland,MD,21502,"66471 - Greise Brothers Packing, Inc."
1802 Northwood Drive,Wicomico,Administrative Order,SC-O-12-1518,,2010-12-29T00:00:00.000,Not Applicable,,,Salisbury,MD,21801,132263 - D. W. Burt Concrete Construction
38.946636 -76.824510,Prince George's,Penalty Settlement,PS-19-2576,2019-01-22T00:00:00.000,2019-02-05T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),,Bowie,MD,20720,105542 - Construct water transmission main & an access rd near Rte 50
535 Maryland Avenue,Calvert,Penalty Settlement,C-14-2003,2013-09-20T00:00:00.000,2013-12-23T00:00:00.000,Sediment,,,Lusby,MD,20657,138853 - Roy Droege
5875 Cloverdale Rd,Dorchester,,,2020-02-28T00:00:00.000,2019-11-22T00:00:00.000,Notice of Intent;Sediment,,,Hurlock,MD,21643,25927 - North Dorchester High School
Rte 313 and Moot Point Rd,Caroline,,,,2024-09-26T00:00:00.000,Not Assigned,,,Denton,MD,21639,66031 - Eric and Tanja Roes Property
36 to 40 Walnut Street,Harford,Penalty Settlement,PS-18-2520,2018-04-05T00:00:00.000,2018-04-24T00:00:00.000,Non-Tidal Wetlands,,,Aberdeen,MD,21001,148166 - Swan Harbor Dell Ltd-36 to 40 Walnut Street
N Prince Frederick Blvd across from library,Calvert,Settlement Agreement,SAP-13-1713,2012-07-27T00:00:00.000,2014-09-14T00:00:00.000,Sediment,,,Prince Frederick,MD,20678,136766 - Calvert County Water & Sewerage on N Prince Frederick Blvd
3647B Old Robin Hood Road,Harford,Consent Decree,CJ-09-0865,2009-05-05T00:00:00.000,2014-09-22T00:00:00.000,Sediment,,,Aberdeen,MD,21001,65703 - Cerny Property 3647 Old Robin Hood Road
"Trout Run/Laurel Run, Steyer Mine Rd",Garrett,Penalty Settlement,AOP-13-1867,2013-03-05T00:00:00.000,2013-11-13T00:00:00.000,Sediment;Waterway Construction,,,Oakland,MD,21550,136929 - Darvin Moon
Criss Ford Rd,Frederick,Settlement Agreement,SAP-13-1812,2012-12-21T00:00:00.000,2012-12-21T00:00:00.000,Sediment,,,Buckeystown,MD,21770,63670 - Mark Matovich Property
County Wide Sewerage System,Howard,Stipulated Penalty,Arno Laud,2018-03-06T00:00:00.000,2018-05-09T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31409 - Howard County Sanitary Sewer Overflows
160 Bamboushay Lane,Calvert,Consent Order,,2012-12-12T00:00:00.000,2014-09-14T00:00:00.000,Tidal Wetlands,,,Dowell,MD,20629,129875 - 160 Bamboushay Lane Louis Stone III
"25840 Rumbley Rd, Rumbley Workboat Harbor",Somerset,,,,2016-03-31T00:00:00.000,Not Assigned,,,Rumbley,MD,21871,"66826 - Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co."
5305 Piney Church Rd,Charles,Penalty Settlement,PS-14-1974,2013-07-12T00:00:00.000,2013-09-09T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Waldorf,MD,20602,140984 - Saint Charles High School
39.1779633 -76.6750929,Anne Arundel,Penalty Settlement,,2015-02-26T00:00:00.000,2015-03-26T00:00:00.000,Sediment,,,BWI Airport,MD,21240,"113413 - Runway 15R-33L, RSA, Pavement Rehab & Standards Compliance"
881 Wilson Rd,Cecil,Consent Order,COP-10-1023,2009-10-13T00:00:00.000,2014-07-10T00:00:00.000,Groundwater Discharge Unauthorized,,,Rising Sun,MD,21911,32172 - Southern States Cooperative
2406 Philadelphia Rd,Harford,Consent Decree,Kevin Bull,2017-03-03T00:00:00.000,2019-01-23T00:00:00.000,Sediment,,,Edgewood,MD,21040,65741 - Fields Koros Property 2406 Philadelphia Road
County Wide Sewerage System,St. Mary's,Penalty Settlement,PS-13-1738,2012-08-16T00:00:00.000,2012-09-11T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31401 - Saint Mary's County Sanitary Sewer Overflows
4300 Shannon Dr.,Baltimore City,"Complaint, Order, Penalty",JOP-23-2911,2023-05-02T00:00:00.000,2024-10-15T00:00:00.000,Sediment;Stormwater Management,Industrial Stormwater,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2727877'},Baltimore,MD,21213,"31284 - P & J Contracting Company, Inc."
21200 Martinsburg Road,Montgomery,Penalty Settlement,Arno Laud,2017-07-20T00:00:00.000,2017-08-15T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Major,,Dickerson,MD,20842,"46 - Dickerson Generating Station/GenOn Mid-Atlantic, LLC"
"Seldom Seen Rd, 0.8 miles West of Bloomington",Garrett,Penalty Settlement,Arno Laud,2011-08-30T00:00:00.000,2018-09-11T00:00:00.000,Notice of Intent;Sediment;Surface Water Discharge Permit,Industrial Major,,Bloomington,MD,21523,135304 - Luke Paper Company Fill Site - GP#: 2008-090
"672 West Glenwood Ave, Easton to MD 307, Hurlock",Talbot,Penalty Settlement,PS-14-2008,2013-07-16T00:00:00.000,2013-07-16T00:00:00.000,Sediment,,,Easton,MD,21601,133419 - Delmarva Power and Light Company-Easton to Todd
SE OF WOODSBORO PIKE & WOODSBORO ROAD,Frederick,Penalty Settlement,PS-12-1496,2011-10-31T00:00:00.000,2013-09-24T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Woodsboro,MD,21798,19481 - Woodsboro WWTP
"38.927461 -75.944091, Tuckahoe State Park",Caroline,Penalty Settlement,PS-16-2318,2015-09-25T00:00:00.000,2015-10-14T00:00:00.000,Notice of Intent;Sediment,,,Ridgely,MD,21660,104961 - Adkins Arboretum Parking Lot Alive
Sewerage Systems in Montgomery & Prince George's Counties,Statewide,Stipulated Penalty,SP-23-2844,2022-11-07T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303'},PG & Montgolery Counties,MD,0,31417 - Washington Suburban Sanitary Commission Sanitary Sewer Overflows
22620 Van Wert lane,St. Mary's,Consent Order,CO-15-2206,2015-04-24T00:00:00.000,2019-09-18T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Leonardtown,MD,20650,21834 - Leonardtown WWTP Expansion
361 Michaels Lane,Harford,Consent Order,CO-12-1565,2012-01-18T00:00:00.000,2015-12-14T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Aberdeen,MD,21001,11652 - Aberdeen Advanced Wastewater Treatment Plant
1500 S Ponca St,Baltimore City,Penalty Settlement,"Bull, Kevin",2015-03-04T00:00:00.000,2015-03-20T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Highlandtown,MD,21224,167 - GAF Corporation
Near Town Center Blvd,Calvert,Penalty Settlement,C-15-2174,2014-11-17T00:00:00.000,2015-01-14T00:00:00.000,Sediment,,,Dunkirk,MD,20754,129643 - MTA/Dunkirk Park & Ride Facility
6100 Ray Norwood Road,Calvert,Penalty Settlement,16-GL-0952,2018-04-26T00:00:00.000,2018-06-06T00:00:00.000,Tidal Wetlands,,,Prince Frederick,MD,20678,154560 - Terry and Faye Shields
8833 Wagner Station Road,Anne Arundel,Consent Order,CO-15-2161,2014-10-08T00:00:00.000,2019-04-10T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,24035 - Cox Creek WRF
